% FILE: Exam4_matlab.1
%
%       t             Q1             Q2             U1             U2
%     (sec)          (rad)          (rad)         (rad/s)        (rad/s)

  1.520000E+01  -8.630485E-01   2.115496E+00  -6.937514E-05   1.437434E-05 
  1.530000E+01  -8.630545E-01   2.115497E+00  -5.077817E-05   1.885691E-05 
  1.540000E+01  -8.630587E-01   2.115499E+00  -3.246800E-05   2.192607E-05 
  1.550000E+01  -8.630610E-01   2.115502E+00  -1.510027E-05   2.364786E-05 
  1.560000E+01  -8.630617E-01   2.115504E+00   7.732298E-07   2.414760E-05 
  1.570000E+01  -8.630609E-01   2.115507E+00   1.471580E-05   2.359166E-05 
  1.580000E+01  -8.630589E-01   2.115509E+00   2.641212E-05   2.216963E-05 
  1.590000E+01  -8.630557E-01   2.115511E+00   3.566938E-05   2.007851E-05 
  1.600000E+01  -8.630518E-01   2.115513E+00   4.241314E-05   1.750985E-05 
  1.610000E+01  -8.630473E-01   2.115514E+00   4.667845E-05   1.464042E-05 
  1.620000E+01  -8.630425E-01   2.115516E+00   4.859674E-05   1.162628E-05 
  1.630000E+01  -8.630377E-01   2.115517E+00   4.837955E-05   8.599985E-06 
  1.640000E+01  -8.630329E-01   2.115517E+00   4.630015E-05   5.670274E-06 
  1.650000E+01  -8.630285E-01   2.115518E+00   4.267437E-05   2.923393E-06 
  1.660000E+01  -8.630244E-01   2.115518E+00   3.784155E-05   4.254219E-07 
  1.670000E+01  -8.630209E-01   2.115518E+00   3.214685E-05  -1.775091E-06 
  1.680000E+01  -8.630180E-01   2.115518E+00   2.592559E-05  -3.644649E-06 
  1.690000E+01  -8.630158E-01   2.115517E+00   1.949020E-05  -5.162766E-06 
  1.700000E+01  -8.630141E-01   2.115517E+00   1.312014E-05  -6.320451E-06 
  1.710000E+01  -8.630131E-01   2.115516E+00   7.054821E-06  -7.119179E-06 
  1.720000E+01  -8.630127E-01   2.115515E+00   1.489379E-06  -7.570180E-06 
  1.730000E+01  -8.630128E-01   2.115515E+00  -3.426865E-06  -7.693851E-06 
  1.740000E+01  -8.630134E-01   2.115514E+00  -7.589800E-06  -7.519069E-06 
  1.750000E+01  -8.630143E-01   2.115513E+00  -1.093809E-05  -7.082258E-06 
  1.760000E+01  -8.630155E-01   2.115512E+00  -1.344945E-05  -6.426103E-06 
  1.770000E+01  -8.630170E-01   2.115512E+00  -1.513591E-05  -5.597898E-06 
  1.780000E+01  -8.630185E-01   2.115511E+00  -1.603865E-05  -4.647577E-06 
  1.790000E+01  -8.630201E-01   2.115511E+00  -1.622249E-05  -3.625557E-06 
  1.800000E+01  -8.630217E-01   2.115511E+00  -1.577043E-05  -2.580544E-06 
  1.810000E+01  -8.630233E-01   2.115510E+00  -1.477829E-05  -1.557465E-06 
  1.820000E+01  -8.630247E-01   2.115510E+00  -1.334978E-05  -5.956859E-07 
  1.830000E+01  -8.630259E-01   2.115510E+00  -1.159184E-05   2.723547E-07 
  1.840000E+01  -8.630270E-01   2.115510E+00  -9.610510E-06   1.022023E-06 
  1.850000E+01  -8.630279E-01   2.115510E+00  -7.507339E-06   1.636847E-06 
  1.860000E+01  -8.630285E-01   2.115511E+00  -5.376278E-06   2.108365E-06 
  1.870000E+01  -8.630289E-01   2.115511E+00  -3.301203E-06   2.435542E-06 
  1.880000E+01  -8.630292E-01   2.115511E+00  -1.354014E-06   2.623837E-06 
  1.890000E+01  -8.630292E-01   2.115511E+00   4.066587E-07   2.684023E-06 
  1.900000E+01  -8.630291E-01   2.115512E+00   1.936145E-06   2.630900E-06 
  1.910000E+01  -8.630288E-01   2.115512E+00   3.203854E-06   2.481982E-06 
  1.920000E+01  -8.630285E-01   2.115512E+00   4.192858E-06   2.256254E-06 
  1.930000E+01  -8.630280E-01   2.115512E+00   4.898992E-06   1.973082E-06 
  1.940000E+01  -8.630275E-01   2.115512E+00   5.329553E-06   1.651294E-06 
  1.950000E+01  -8.630269E-01   2.115513E+00   5.501686E-06   1.308470E-06 
  1.960000E+01  -8.630264E-01   2.115513E+00   5.440547E-06   9.604277E-07 
  1.970000E+01  -8.630259E-01   2.115513E+00   5.177344E-06   6.208908E-07 
  1.980000E+01  -8.630254E-01   2.115513E+00   4.747361E-06   3.013174E-07 
  1.990000E+01  -8.630249E-01   2.115513E+00   4.188043E-06   1.084903E-08 
  2.000000E+01  -8.630245E-01   2.115513E+00   3.537228E-06  -2.436458E-07 
  2.010000E+01  -8.630242E-01   2.115513E+00   2.831579E-06  -4.574616E-07 
  2.020000E+01  -8.630240E-01   2.115513E+00   2.105273E-06  -6.279018E-07 
  2.030000E+01  -8.630238E-01   2.115513E+00   1.388950E-06  -7.540966E-07 
  2.040000E+01  -8.630237E-01   2.115513E+00   7.089630E-07  -8.368029E-07 
  2.050000E+01  -8.630236E-01   2.115513E+00   8.688939E-08  -8.781916E-07 
  2.060000E+01  -8.630237E-01   2.115512E+00  -4.606876E-07  -8.816246E-07 
  2.070000E+01  -8.630237E-01   2.115512E+00  -9.221731E-07  -8.514253E-07 
  2.080000E+01  -8.630238E-01   2.115512E+00  -1.290755E-06  -7.926408E-07 
  2.090000E+01  -8.630240E-01   2.115512E+00  -1.564041E-06  -7.108028E-07 
  2.100000E+01  -8.630242E-01   2.115512E+00  -1.743572E-06  -6.116883E-07 
  2.110000E+01  -8.630243E-01   2.115512E+00  -1.834255E-06  -5.010888E-07 
  2.120000E+01  -8.630245E-01   2.115512E+00  -1.843743E-06  -3.845940E-07 
  2.130000E+01  -8.630247E-01   2.115512E+00  -1.781797E-06  -2.673983E-07 
  2.140000E+01  -8.630249E-01   2.115512E+00  -1.659650E-06  -1.541374E-07 
  2.150000E+01  -8.630250E-01   2.115512E+00  -1.489408E-06  -4.876123E-08 
  2.160000E+01  -8.630252E-01   2.115512E+00  -1.283487E-06   4.555387E-08 
  2.170000E+01  -8.630253E-01   2.115512E+00  -1.054114E-06   1.264503E-07 
  2.180000E+01  -8.630254E-01   2.115512E+00  -8.128964E-07   1.923942E-07 
  2.190000E+01  -8.630255E-01   2.115512E+00  -5.704659E-07   2.426431E-07 
  2.200000E+01  -8.630255E-01   2.115512E+00  -3.361983E-07   2.771808E-07 
  2.210000E+01  -8.630255E-01   2.115512E+00  -1.180157E-07   2.966276E-07 
  2.220000E+01  -8.630255E-01   2.115512E+00   7.773661E-08   3.021331E-07 
  2.230000E+01  -8.630255E-01   2.115512E+00   2.463403E-07   2.952580E-07 
  2.240000E+01  -8.630255E-01   2.115512E+00   3.846875E-07   2.778545E-07 
  2.250000E+01  -8.630254E-01   2.115512E+00   4.912058E-07   2.519498E-07 
  2.260000E+01  -8.630254E-01   2.115512E+00   5.657340E-07   2.196391E-07 
  2.270000E+01  -8.630253E-01   2.115512E+00   6.093579E-07   1.829916E-07 
  2.280000E+01  -8.630253E-01   2.115512E+00   6.242184E-07   1.439707E-07 
  2.290000E+01  -8.630252E-01   2.115512E+00   6.133005E-07   1.043723E-07 
  2.300000E+01  -8.630251E-01   2.115512E+00   5.802146E-07   6.577763E-08 
  2.310000E+01  -8.630251E-01   2.115512E+00   5.289803E-07   2.952319E-08 
  2.320000E+01  -8.630250E-01   2.115512E+00   4.638196E-07  -3.316458E-09 
  2.330000E+01  -8.630250E-01   2.115512E+00   3.889679E-07  -3.193297E-08 
  2.340000E+01  -8.630249E-01   2.115512E+00   3.085073E-07  -5.577845E-08 
  2.350000E+01  -8.630249E-01   2.115512E+00   2.262274E-07  -7.455117E-08 
  2.360000E+01  -8.630249E-01   2.115512E+00   1.455142E-07  -8.817490E-08 
  2.370000E+01  -8.630249E-01   2.115512E+00   6.927006E-08  -9.677312E-08 
  2.380000E+01  -8.630249E-01   2.115512E+00  -1.383706E-10  -1.006400E-07 
  2.390000E+01  -8.630249E-01   2.115512E+00  -6.090367E-08  -1.002090E-07 
  2.400000E+01  -8.630249E-01   2.115512E+00  -1.117768E-07  -9.602106E-08 
  2.410000E+01  -8.630249E-01   2.115512E+00  -1.520445E-07  -8.869181E-08 
  2.420000E+01  -8.630249E-01   2.115512E+00  -1.814890E-07  -7.888100E-08 
  2.430000E+01  -8.630250E-01   2.115512E+00  -2.003336E-07  -6.726297E-08 
  2.440000E+01  -8.630250E-01   2.115512E+00  -2.091785E-07  -5.450001E-08 
  2.450000E+01  -8.630250E-01   2.115512E+00  -2.089305E-07  -4.121896E-08 
  2.460000E+01  -8.630250E-01   2.115512E+00  -2.007299E-07  -2.799159E-08 
  2.470000E+01  -8.630250E-01   2.115512E+00  -1.858780E-07  -1.531914E-08 
  2.480000E+01  -8.630251E-01   2.115512E+00  -1.657672E-07  -3.621216E-09 
  2.490000E+01  -8.630251E-01   2.115512E+00  -1.418174E-07   6.770971E-09 
  2.500000E+01  -8.630251E-01   2.115512E+00  -1.154185E-07   1.561708E-08 
  2.510000E+01  -8.630251E-01   2.115512E+00  -8.788123E-08   2.276623E-08 
  2.520000E+01  -8.630251E-01   2.115512E+00  -6.039781E-08   2.815221E-08 
  2.530000E+01  -8.630251E-01   2.115512E+00  -3.401091E-08   3.178571E-08 
  2.540000E+01  -8.630251E-01   2.115512E+00  -9.592676E-09   3.374448E-08 
  2.550000E+01  -8.630251E-01   2.115512E+00   1.216743E-08   3.416185E-08 
  2.560000E+01  -8.630251E-01   2.115512E+00   3.076644E-08   3.321449E-08 
  2.570000E+01  -8.630251E-01   2.115512E+00   4.588418E-08   3.110992E-08 
